15169;104.132.128.0;24;5 days, 17:19:52;1548151651;1548646043
15169;104.132.26.0;24;1 day, 3:49:34;1548166048;1548266222
15169;2605:ef80:600::;40;0:02:48;1548184006;1548184174
15169;2605:ef80:100::;42;0:02:48;1548184006;1548184174
15169;104.132.149.0;24;4:05:12;1548132413;1548147125
15169;104.132.26.0;24;2 days, 18:45:20;1548166835;1548407155
15169;104.132.26.0;24;2 days, 0:00:40;1548241583;1548414423
15169;104.132.26.0;24;2 days, 0:33:37;1548255531;1548430348
15169;173.194.200.0;24;0:04:45;1548296675;1548296960
15169;2605:ef80:240::;42;0:00:00;1548322683;1548322683
15169;2605:ef80:1c0::;42;0:00:00;1548323492;1548323492
15169;104.132.205.0;24;3 days, 8:27:44;1548329773;1548619437
15169;172.102.12.0;23;0:01:12;1548448061;1548448133
15169;216.252.222.0;24;0:01:13;1548448061;1548448134
15169;2605:ef80:80::;42;0:00:00;1548448134;1548448134
15169;104.132.189.0;24;0:00:04;1548494238;1548494242
15169;104.132.205.0;24;0:19:52;1548619579;1548620771
15169;104.132.33.0;24;0:05:23;1548669653;1548669976
